TermCRN,L,R,WL
FallTerm2023-5125,,,
FallTerm2023-5126,,,
FallTerm2023-5127,,,
FallTerm2023-5128,,,
FallTerm2023-5129,,,
FallTerm2023-5130,,,
FallTerm2023-5131,,,
FallTerm2023-5132,,,
FallTerm2024-6067,20,6,0
FallTerm2024-6068,20,3,0
FallTerm2024-5118,,,
FallTerm2024-5119,,,
FallTerm2024-6069,20,4,0
FallTerm2024-6070,20,3,0
FallTerm2024-6071,,3,0
FallTerm2024-5120,,,
FallTerm2024-5121,,,
FallTerm2024-5122,,,
FallTerm2024-5123,,,
FallTerm2024-6074,20,6,0
FallTerm2024-5124,,,
FallTerm2024-5125,,,
FallTerm2024-5126,,,
FallTerm2024-5127,,,
FallTerm2024-5128,,,
FallTerm2024-5129,,,
FallTerm2024-5130,,,
FallTerm2024-5131,,,
WinterTerm2024-2054,20,6,0
WinterTerm2024-2056,20,7,0
WinterTerm2024-1117,,,
WinterTerm2024-1118,,,
WinterTerm2024-2060,20,3,0
WinterTerm2024-2063,20,6,0
WinterTerm2024-2057,,6,0
WinterTerm2024-2061,,9,0
WinterTerm2024-1119,,,
WinterTerm2024-1120,,,
WinterTerm2024-1121,,,
WinterTerm2024-1122,,,
WinterTerm2024-2055,,3,
WinterTerm2024-1123,,,
WinterTerm2024-1124,,,
WinterTerm2024-1125,,,
WinterTerm2024-1126,,,
WinterTerm2024-1127,,,
WinterTerm2024-1128,,,
WinterTerm2024-1129,,,
WinterTerm2024-1130,,,
WinterTerm2025-2089,20,5,0
WinterTerm2025-2090,20,3,0
WinterTerm2025-1083,,,
WinterTerm2025-1084,,,
WinterTerm2025-2091,20,2,0
WinterTerm2025-2092,20,3,0
WinterTerm2025-2093,,1,0
WinterTerm2025-2096,,6,0
WinterTerm2025-1085,,,
WinterTerm2025-1086,,,
WinterTerm2025-1087,,,
WinterTerm2025-1088,,,
WinterTerm2025-2099,,5,
WinterTerm2025-1089,,,
WinterTerm2025-1090,,,
WinterTerm2025-1091,,,
WinterTerm2025-1092,,,
WinterTerm2025-1093,,,
WinterTerm2025-1094,,,
WinterTerm2025-1095,,,
WinterTerm2025-1096,,,
SpringTerm2024-3093,,,
SpringTerm2024-3094,,,
SpringTerm2024-4067,20,7,0
SpringTerm2024-4068,20,6,0
SpringTerm2024-4069,,3,
SpringTerm2024-4070,,4,
SpringTerm2024-3095,,,
SpringTerm2024-3096,,,
SpringTerm2024-3097,,,
SpringTerm2024-3098,,,
SpringTerm2024-3099,,,
SpringTerm2024-3100,,,
SpringTerm2024-3101,,,
SpringTerm2024-3102,,,
SpringTerm2024-3103,,,
SpringTerm2024-3104,,,
SpringTerm2024-3105,,,
SpringTerm2024-3106,,,
SpringTerm2025-3085,,,
SpringTerm2025-3086,,,
SpringTerm2025-4072,20,4,0
SpringTerm2025-4073,20,3,0
SpringTerm2025-4074,,3,
SpringTerm2025-4078,,12,0
SpringTerm2025-4077,,3,
SpringTerm2025-3087,,,
SpringTerm2025-3088,,,
SpringTerm2025-3089,,,
SpringTerm2025-3090,,,
SpringTerm2025-3091,,,
SpringTerm2025-3092,,,
SpringTerm2025-3093,,,
SpringTerm2025-3094,,,
SpringTerm2025-3095,,,
SpringTerm2025-3096,,,
SpringTerm2025-3097,,,
SpringTerm2025-3098,,,
FallTerm2023-5821,25,14,0
FallTerm2023-5133,,,
FallTerm2023-5822,,15,0
FallTerm2023-5824,,1,
FallTerm2023-5134,,,
FallTerm2023-5135,,,
FallTerm2023-5136,,,
FallTerm2023-5825,,,
FallTerm2023-5137,,,
FallTerm2023-5138,,,
FallTerm2023-5139,,,
FallTerm2023-5140,,,
FallTerm2023-5141,,,
FallTerm2023-5142,,,
FallTerm2024-5922,20,8,0
FallTerm2024-5132,,,
FallTerm2024-6083,15,7,0
FallTerm2024-5133,,,
FallTerm2024-5134,,,
FallTerm2024-5135,,,
FallTerm2024-5136,,,
FallTerm2024-5137,,,
FallTerm2024-5138,,,
FallTerm2024-5139,,,
FallTerm2024-5140,,,
FallTerm2024-5141,,,
WinterTerm2024-1818,,11,
WinterTerm2024-1131,,,
WinterTerm2024-1819,,22,0
WinterTerm2024-1132,,,
WinterTerm2024-1133,,,
WinterTerm2024-1134,,,
WinterTerm2024-1135,,,
WinterTerm2024-1136,,,
WinterTerm2024-1137,,,
WinterTerm2024-1138,,,
WinterTerm2024-1139,,,
WinterTerm2024-1140,,,
WinterTerm2025-1872,30,3,0
WinterTerm2025-1875,,9,
WinterTerm2025-1943,15,13,0
WinterTerm2025-1097,,,
WinterTerm2025-1876,,2,
WinterTerm2025-1873,,7,0
WinterTerm2025-1098,,,
WinterTerm2025-1099,,,
WinterTerm2025-1100,,,
WinterTerm2025-1877,,2,
WinterTerm2025-1101,,,
WinterTerm2025-1102,,,
WinterTerm2025-1103,,,
WinterTerm2025-1104,,,
WinterTerm2025-1105,,,
WinterTerm2025-1106,,,
SpringTerm2024-3107,,,
SpringTerm2024-3831,,11,
SpringTerm2024-3832,50,45,0
SpringTerm2024-3836,,5,
SpringTerm2024-3833,,9,0
SpringTerm2024-3108,,,
SpringTerm2024-3109,,,
SpringTerm2024-3110,,,
SpringTerm2024-3837,,,
SpringTerm2024-3111,,,
SpringTerm2024-3112,,,
SpringTerm2024-3113,,,
SpringTerm2024-3114,,,
SpringTerm2024-3115,,,
SpringTerm2024-3116,,,
SpringTerm2025-3099,,,
SpringTerm2025-3892,,9,
SpringTerm2025-4086,,12,0
SpringTerm2025-3893,,3,
SpringTerm2025-3100,,,
SpringTerm2025-3101,,,
SpringTerm2025-3102,,,
SpringTerm2025-3894,,3,
SpringTerm2025-3943,9,4,0
SpringTerm2025-3103,,,
SpringTerm2025-3104,,,
SpringTerm2025-3105,,,
SpringTerm2025-3106,,,
SpringTerm2025-3107,,,
SpringTerm2025-3108,,,
FallTerm2023-5687,20,24,0
FallTerm2023-5143,,,
FallTerm2023-5144,,,
FallTerm2023-5145,,,
FallTerm2023-5146,,,
FallTerm2023-5147,,,
FallTerm2023-5148,,,
FallTerm2023-5689,,12,
FallTerm2023-5990,,16,
FallTerm2023-6063,,5,
FallTerm2023-5149,,,
FallTerm2023-5150,,,
FallTerm2023-5151,,,
FallTerm2023-5152,,,
FallTerm2023-5153,,,
FallTerm2023-5154,,,
FallTerm2023-5155,,,
FallTerm2023-5156,,,
FallTerm2024-5808,20,12,0
FallTerm2024-5142,,,
FallTerm2024-5143,,,
FallTerm2024-6081,30,29,0
FallTerm2024-5809,20,10,0
FallTerm2024-5144,,,
FallTerm2024-5145,,,
FallTerm2024-5146,,,
FallTerm2024-5147,,,
FallTerm2024-5810,,19,
FallTerm2024-5811,,5,
FallTerm2024-5148,,,
FallTerm2024-5149,,,
FallTerm2024-5150,,,
FallTerm2024-5151,,,
FallTerm2024-5152,,,
FallTerm2024-5153,,,
FallTerm2024-5154,,,
FallTerm2024-5812,,2,
FallTerm2024-5155,,,
WinterTerm2024-1815,30,30,0
WinterTerm2024-1141,,,
WinterTerm2024-1142,,,
WinterTerm2024-1686,30,29,0
WinterTerm2024-1688,20,21,0
WinterTerm2024-1143,,,
WinterTerm2024-1144,,,
WinterTerm2024-1145,,,
WinterTerm2024-1146,,,
WinterTerm2024-1689,,10,
WinterTerm2024-1690,,16,
WinterTerm2024-1147,,,
WinterTerm2024-1148,,,
WinterTerm2024-1149,,,
WinterTerm2024-1150,,,
WinterTerm2024-1691,,17,
WinterTerm2024-1151,,,
WinterTerm2024-1152,,,
WinterTerm2024-1153,,,
WinterTerm2024-1154,,,
WinterTerm2025-1776,20,20,7
WinterTerm2025-1774,5,3,0
WinterTerm2025-1107,,,
WinterTerm2025-1108,,,
WinterTerm2025-1784,30,22,0
WinterTerm2025-1849,20,20,1
WinterTerm2025-1109,,,
WinterTerm2025-1110,,,
WinterTerm2025-1111,,,
WinterTerm2025-1112,,,
WinterTerm2025-1775,,10,
WinterTerm2025-1777,,9,
WinterTerm2025-1113,,,
WinterTerm2025-1114,,,
WinterTerm2025-1115,,,
WinterTerm2025-1116,,,
WinterTerm2025-1778,,8,
WinterTerm2025-1117,,,
WinterTerm2025-1118,,,
WinterTerm2025-1119,,,
WinterTerm2025-1120,,,
SpringTerm2024-3716,,24,
SpringTerm2024-3717,20,17,0
SpringTerm2024-3117,,,
SpringTerm2024-3118,,,
SpringTerm2024-3721,30,21,0
SpringTerm2024-3713,30,32,0
SpringTerm2024-3718,20,16,0
SpringTerm2024-3719,20,15,0
SpringTerm2024-3119,,,
SpringTerm2024-3120,,,
SpringTerm2024-3121,,,
SpringTerm2024-3122,,,
SpringTerm2024-4062,,23,
SpringTerm2024-3723,,16,
SpringTerm2024-3123,,,
SpringTerm2024-3124,,,
SpringTerm2024-3125,,,
SpringTerm2024-3126,,,
SpringTerm2024-3127,,,
SpringTerm2024-3128,,,
SpringTerm2024-3129,,,
SpringTerm2024-3130,,,
SpringTerm2025-3109,,,
SpringTerm2025-3110,,,
SpringTerm2025-3817,30,20,0
SpringTerm2025-3819,30,25,0
SpringTerm2025-3810,20,4,0
SpringTerm2025-3811,20,20,3
SpringTerm2025-3111,,,
SpringTerm2025-3112,,,
SpringTerm2025-3113,,,
SpringTerm2025-3114,,,
SpringTerm2025-4105,,17,
SpringTerm2025-3812,,21,
SpringTerm2025-3115,,,
SpringTerm2025-3116,,,
SpringTerm2025-3117,,,
SpringTerm2025-3118,,,
SpringTerm2025-3119,,,
SpringTerm2025-3120,,,
SpringTerm2025-3121,,,
SpringTerm2025-3122,,,
FallTerm2023-5157,,,
FallTerm2023-5158,,,
FallTerm2023-5159,,,
FallTerm2023-5160,,,
FallTerm2024-5882,20,15,0
FallTerm2024-5156,,,
FallTerm2024-5157,,,
FallTerm2024-5158,,,
FallTerm2024-5159,,,
WinterTerm2024-1854,25,23,0
WinterTerm2024-1155,,,
WinterTerm2024-1156,,,
WinterTerm2024-1157,,,
WinterTerm2024-1158,,,
WinterTerm2025-1121,,,
WinterTerm2025-1122,,,
WinterTerm2025-1123,,,
WinterTerm2025-1124,,,
SpringTerm2024-3131,,,
SpringTerm2024-3132,,,
SpringTerm2024-3133,,,
SpringTerm2024-3134,,,
SpringTerm2025-4063,15,13,0
SpringTerm2025-3123,,,
SpringTerm2025-3124,,,
SpringTerm2025-3125,,,
SpringTerm2025-3126,,,
DTerm2023-6005,,9,
DTerm2023-6001,,4,
DTerm2023-6008,,6,
DTerm2023-6006,,5,
DTerm2023-6003,10,11,0
DTerm2024-6005,,,
DTerm2024-6004,,,
DTerm2024-6001,,,
DTerm2024-6003,,,
DTerm2024-6002,,,
FallTerm2023-5725,40,36,0
FallTerm2023-5161,,,
FallTerm2023-5719,24,17,0
FallTerm2023-5807,20,18,0
FallTerm2023-5632,20,2,0
FallTerm2023-5162,,,
FallTerm2023-5163,,,
FallTerm2023-5164,,,
FallTerm2023-5165,,,
FallTerm2023-5166,,,
FallTerm2023-5167,,,
FallTerm2023-5168,,,
FallTerm2023-5169,,,
FallTerm2023-5170,,,
FallTerm2024-5160,,,
FallTerm2024-5906,19,5,0
FallTerm2024-6073,,3,0
FallTerm2024-5161,,,
FallTerm2024-5162,,,
FallTerm2024-5163,,,
FallTerm2024-5971,25,13,0
FallTerm2024-5164,,,
FallTerm2024-5165,,,
FallTerm2024-5166,,,
FallTerm2024-5167,,,
FallTerm2024-5168,,,
FallTerm2024-5169,,,
WinterTerm2024-1159,,,
WinterTerm2024-1726,35,19,0
WinterTerm2024-2062,,9,0
WinterTerm2024-2058,,6,0
WinterTerm2024-1160,,,
WinterTerm2024-1161,,,
WinterTerm2024-1162,,,
WinterTerm2024-1731,,14,0
WinterTerm2024-1163,,,
WinterTerm2024-1164,,,
WinterTerm2024-1165,,,
WinterTerm2024-1166,,,
WinterTerm2024-1167,,,
WinterTerm2024-1168,,,
WinterTerm2025-1125,,,
WinterTerm2025-1888,14,3,0
WinterTerm2025-2094,,1,0
WinterTerm2025-2097,,6,0
WinterTerm2025-1808,16,7,0
WinterTerm2025-1891,16,2,0
WinterTerm2025-1126,,,
WinterTerm2025-1127,,,
WinterTerm2025-1128,,,
WinterTerm2025-1129,,,
WinterTerm2025-1130,,,
WinterTerm2025-1131,,,
WinterTerm2025-1132,,,
WinterTerm2025-1133,,,
WinterTerm2025-1134,,,
SpringTerm2024-3749,35,21,0
SpringTerm2024-3135,,,
SpringTerm2024-3753,24,17,0
SpringTerm2024-4096,,11,0
SpringTerm2024-3136,,,
SpringTerm2024-3137,,,
SpringTerm2024-3138,,,
SpringTerm2024-3139,,,
SpringTerm2024-3140,,,
SpringTerm2024-3141,,,
SpringTerm2024-3142,,,
SpringTerm2024-3143,,,
SpringTerm2024-3144,,,
SpringTerm2025-3127,,,
SpringTerm2025-4079,,12,0
SpringTerm2025-3128,,,
SpringTerm2025-3129,,,
SpringTerm2025-3130,,,
SpringTerm2025-3131,,,
SpringTerm2025-3132,,,
SpringTerm2025-3133,,,
SpringTerm2025-3134,,,
SpringTerm2025-3135,,,
SpringTerm2025-3136,,,
FallTerm2023-5599,25,24,0
FallTerm2023-5600,25,25,0
FallTerm2023-5171,,,
FallTerm2023-5172,,,
FallTerm2023-5601,25,25,0
FallTerm2023-6120,25,13,0
FallTerm2023-5603,23,13,0
FallTerm2023-5604,23,9,0
FallTerm2023-5173,,,
FallTerm2023-5174,,,
FallTerm2023-5175,,,
FallTerm2023-5176,,,
FallTerm2023-5612,18,9,0
FallTerm2023-5606,18,10,0
FallTerm2023-5605,18,7,0
FallTerm2023-5607,,5,
FallTerm2023-5177,,,
FallTerm2023-5178,,,
FallTerm2023-5179,,,
FallTerm2023-5180,,,
FallTerm2023-5181,,,
FallTerm2023-5182,,,
FallTerm2023-5183,,,
FallTerm2023-5184,,,
FallTerm2024-5727,15,7,0
FallTerm2024-5728,15,6,0
FallTerm2024-5170,,,
FallTerm2024-5171,,,
FallTerm2024-6077,,9,0
FallTerm2024-6119,25,10,0
FallTerm2024-5958,25,16,0
FallTerm2024-5729,23,8,0
FallTerm2024-5730,23,6,0
FallTerm2024-5172,,,
FallTerm2024-5173,,,
FallTerm2024-5174,,,
FallTerm2024-5175,,,
FallTerm2024-5834,18,9,0
FallTerm2024-5732,18,8,0
FallTerm2024-5731,18,5,0
FallTerm2024-5176,,,
FallTerm2024-5177,,,
FallTerm2024-5178,,,
FallTerm2024-5179,,,
FallTerm2024-5180,,,
FallTerm2024-5181,,,
FallTerm2024-5182,,,
FallTerm2024-5183,,,
WinterTerm2024-1590,25,18,0
WinterTerm2024-1591,25,24,0
WinterTerm2024-1715,40,45,0
WinterTerm2024-1169,,,
WinterTerm2024-1170,,,
WinterTerm2024-1777,,10,0
WinterTerm2024-1592,25,18,0
WinterTerm2024-2042,25,9,0
WinterTerm2024-1593,25,13,0
WinterTerm2024-1594,25,7,0
WinterTerm2024-1171,,,
WinterTerm2024-1172,,,
WinterTerm2024-1173,,,
WinterTerm2024-1174,,,
WinterTerm2024-1595,25,7,0
WinterTerm2024-1998,18,16,0
WinterTerm2024-2045,25,7,0
WinterTerm2024-1175,,,
WinterTerm2024-1176,,,
WinterTerm2024-1177,,,
WinterTerm2024-1178,,,
WinterTerm2024-1596,,14,
WinterTerm2024-1597,,7,
WinterTerm2024-1179,,,
WinterTerm2024-1180,,,
WinterTerm2024-1181,,,
WinterTerm2024-1182,,,
WinterTerm2025-1679,15,9,0
WinterTerm2025-1680,15,4,0
WinterTerm2025-1864,40,40,2
WinterTerm2025-1135,,,
WinterTerm2025-1136,,,
WinterTerm2025-1682,25,10,0
WinterTerm2025-1681,25,20,0
WinterTerm2025-2130,,8,0
WinterTerm2025-1684,25,6,0
WinterTerm2025-1685,25,5,0
WinterTerm2025-1137,,,
WinterTerm2025-1138,,,
WinterTerm2025-1139,,,
WinterTerm2025-1140,,,
WinterTerm2025-1686,25,10,0
WinterTerm2025-2087,,4,
WinterTerm2025-1141,,,
WinterTerm2025-1142,,,
WinterTerm2025-1143,,,
WinterTerm2025-1144,,,
WinterTerm2025-1687,,11,
WinterTerm2025-1688,,,
WinterTerm2025-1145,,,
WinterTerm2025-1146,,,
WinterTerm2025-1147,,,
WinterTerm2025-1148,,,
SpringTerm2024-3571,25,24,0
SpringTerm2024-4072,25,24,0
SpringTerm2024-3145,,,
SpringTerm2024-3146,,,
SpringTerm2024-4073,25,17,0
SpringTerm2024-4039,,10,0
SpringTerm2024-3997,25,10,0
SpringTerm2024-3001,25,17,0
SpringTerm2024-3574,25,20,0
SpringTerm2024-3576,25,8,0
SpringTerm2024-3577,25,11,0
SpringTerm2024-3147,,,
SpringTerm2024-3148,,,
SpringTerm2024-3149,,,
SpringTerm2024-3150,,,
SpringTerm2024-3578,15,12,0
SpringTerm2024-3151,,,
SpringTerm2024-3152,,,
SpringTerm2024-3153,,,
SpringTerm2024-3154,,,
SpringTerm2024-3155,,,
SpringTerm2024-3156,,,
SpringTerm2024-3157,,,
SpringTerm2024-3158,,,
SpringTerm2025-3687,15,7,0
SpringTerm2025-3688,15,5,0
SpringTerm2025-3137,,,
SpringTerm2025-3138,,,
SpringTerm2025-3691,25,23,14
SpringTerm2025-3693,25,9,0
SpringTerm2025-3721,,10,0
SpringTerm2025-3689,25,14,0
SpringTerm2025-3694,25,9,0
SpringTerm2025-3695,25,3,0
SpringTerm2025-3139,,,
SpringTerm2025-3140,,,
SpringTerm2025-3141,,,
SpringTerm2025-3142,,,
SpringTerm2025-3698,18,4,0
SpringTerm2025-3697,18,8,0
SpringTerm2025-3911,18,6,0
SpringTerm2025-3143,,,
SpringTerm2025-3144,,,
SpringTerm2025-3145,,,
SpringTerm2025-3146,,,
SpringTerm2025-3147,,,
SpringTerm2025-3148,,,
SpringTerm2025-3149,,,
SpringTerm2025-3150,,,
FallTerm2023-5185,,,
FallTerm2023-5186,,,
FallTerm2023-5615,25,26,0
FallTerm2023-5187,,,
FallTerm2023-5188,,,
FallTerm2023-5189,,,
FallTerm2023-5190,,,
FallTerm2023-5617,15,17,0
FallTerm2023-5191,,,
FallTerm2023-5192,,,
FallTerm2023-5193,,,
FallTerm2023-5194,,,
FallTerm2023-5195,,,
FallTerm2023-5196,,,
FallTerm2023-5197,,,
FallTerm2023-5198,,,
FallTerm2024-5759,17,17,3
FallTerm2024-5184,,,
FallTerm2024-5185,,,
FallTerm2024-5761,25,25,0
FallTerm2024-5186,,,
FallTerm2024-5187,,,
FallTerm2024-5188,,,
FallTerm2024-5189,,,
FallTerm2024-5190,,,
FallTerm2024-5191,,,
FallTerm2024-5192,,,
FallTerm2024-5193,,,
FallTerm2024-5194,,,
FallTerm2024-5195,,,
FallTerm2024-5196,,,
FallTerm2024-5197,,,
WinterTerm2024-1605,25,24,0
WinterTerm2024-1183,,,
WinterTerm2024-1184,,,
WinterTerm2024-1607,15,17,0
WinterTerm2024-1608,25,22,0
WinterTerm2024-1185,,,
WinterTerm2024-1186,,,
WinterTerm2024-1187,,,
WinterTerm2024-1188,,,
WinterTerm2024-1189,,,
WinterTerm2024-1190,,,
WinterTerm2024-1191,,,
WinterTerm2024-1192,,,
WinterTerm2024-1193,,,
WinterTerm2024-1194,,,
WinterTerm2024-1195,,,
WinterTerm2024-1196,,,
WinterTerm2025-1149,,,
WinterTerm2025-1150,,,
WinterTerm2025-1772,10,10,4
WinterTerm2025-1716,16,15,5
WinterTerm2025-1151,,,
WinterTerm2025-1152,,,
WinterTerm2025-1153,,,
WinterTerm2025-1154,,,
WinterTerm2025-1155,,,
WinterTerm2025-1156,,,
WinterTerm2025-1157,,,
WinterTerm2025-1158,,,
WinterTerm2025-1159,,,
WinterTerm2025-1160,,,
WinterTerm2025-1161,,,
WinterTerm2025-1162,,,
SpringTerm2024-3587,25,23,0
SpringTerm2024-3159,,,
SpringTerm2024-3160,,,
SpringTerm2024-3589,24,24,0
SpringTerm2024-3161,,,
SpringTerm2024-3162,,,
SpringTerm2024-3163,,,
SpringTerm2024-3164,,,
SpringTerm2024-3590,18,18,0
SpringTerm2024-3592,18,15,0
SpringTerm2024-3165,,,
SpringTerm2024-3166,,,
SpringTerm2024-3167,,,
SpringTerm2024-3168,,,
SpringTerm2024-3169,,,
SpringTerm2024-3170,,,
SpringTerm2024-3171,,,
SpringTerm2024-3172,,,
SpringTerm2025-3741,15,15,9
SpringTerm2025-3151,,,
SpringTerm2025-3152,,,
SpringTerm2025-3153,,,
SpringTerm2025-3154,,,
SpringTerm2025-3155,,,
SpringTerm2025-3156,,,
SpringTerm2025-3743,15,13,0
SpringTerm2025-3744,18,16,0
SpringTerm2025-3746,18,6,0
SpringTerm2025-3157,,,
SpringTerm2025-3158,,,
SpringTerm2025-3159,,,
SpringTerm2025-3160,,,
SpringTerm2025-3161,,,
SpringTerm2025-3162,,,
SpringTerm2025-3163,,,
SpringTerm2025-3164,,,
FallTerm2023-5199,,,
FallTerm2023-5200,,,
FallTerm2023-5201,,,
FallTerm2023-5202,,,
FallTerm2023-5203,,,
FallTerm2023-5204,,,
FallTerm2023-5205,,,
FallTerm2023-5206,,,
FallTerm2023-5207,,,
FallTerm2023-5208,,,
FallTerm2023-5209,,,
FallTerm2024-5198,,,
FallTerm2024-5965,,,
FallTerm2024-5199,,,
FallTerm2024-5200,,,
FallTerm2024-5201,,,
FallTerm2024-5202,,,
FallTerm2024-5203,,,
FallTerm2024-5204,,,
FallTerm2024-5205,,,
FallTerm2024-5206,,,
FallTerm2024-5207,,,
FallTerm2024-5208,,,
FallSem2023-7002,,1,
FallSem2023-7003,,4,
FallSem2023-7004,,4,
FallSem2023-7005,,1,
FallSem2023-7006,,1,
FallSem2024-7062,,,
FallSem2024-7063,,,
FallSem2024-7064,,,
FallSem2024-7065,,,
FallSem2024-7066,20,,
WinterTerm2024-1197,,,
WinterTerm2024-1198,,,
WinterTerm2024-1199,,,
WinterTerm2024-1200,,,
WinterTerm2024-1610,,10,
WinterTerm2024-2026,,10,0
WinterTerm2024-1611,,3,
WinterTerm2024-1201,,,
WinterTerm2024-1202,,,
WinterTerm2024-1203,,,
WinterTerm2024-1204,,,
WinterTerm2024-1205,,,
WinterTerm2024-1206,,,
WinterTerm2024-1207,,,
WinterTerm2025-1163,,,
WinterTerm2025-1962,,,
WinterTerm2025-1164,,,
WinterTerm2025-1165,,,
WinterTerm2025-1166,,,
WinterTerm2025-1717,,15,
WinterTerm2025-1995,,13,0
WinterTerm2025-1718,,4,
WinterTerm2025-1167,,,
WinterTerm2025-1168,,,
WinterTerm2025-1169,,,
WinterTerm2025-1170,,,
WinterTerm2025-1171,,,
WinterTerm2025-1172,,,
WinterTerm2025-1173,,,
SpringSem2024-8002,,,
SpringSem2024-8003,,,
SpringSem2025-8043,,,
SpringSem2025-8044,,,
SpringTerm2024-3173,,,
SpringTerm2024-4051,20,7,0
SpringTerm2024-4151,,3,
SpringTerm2024-3174,,,
SpringTerm2024-3175,,,
SpringTerm2024-3176,,,
SpringTerm2024-3594,,11,
SpringTerm2024-3595,,2,
SpringTerm2024-3596,,4,
SpringTerm2024-3177,,,
SpringTerm2024-3178,,,
SpringTerm2024-3179,,,
SpringTerm2024-3180,,,
SpringTerm2024-3181,,,
SpringTerm2024-3182,,,
SpringTerm2024-3183,,,
SpringTerm2025-3165,,,
SpringTerm2025-3947,,,
SpringTerm2025-3166,,,
SpringTerm2025-3167,,,
SpringTerm2025-3168,,,
SpringTerm2025-3748,,7,
SpringTerm2025-3749,,,
SpringTerm2025-3750,,2,
SpringTerm2025-3751,,2,0
SpringTerm2025-3169,,,
SpringTerm2025-3170,,,
SpringTerm2025-3171,,,
SpringTerm2025-3172,,,
SpringTerm2025-3173,,,
SpringTerm2025-3174,,,
SpringTerm2025-3175,,,
FallTerm2023-5888,20,20,0
FallTerm2023-5895,18,19,0
FallTerm2023-5210,,,
FallTerm2023-5894,25,11,0
FallTerm2023-5896,18,18,0
FallTerm2023-5893,15,15,0
FallTerm2023-5211,,,
FallTerm2023-5212,,,
FallTerm2023-5213,,,
FallTerm2023-5886,20,11,0
FallTerm2023-5884,20,19,0
FallTerm2023-5889,20,20,0
FallTerm2023-5892,,10,
FallTerm2023-5890,20,13,0
FallTerm2023-5897,15,14,0
FallTerm2023-5214,,,
FallTerm2023-5215,,,
FallTerm2023-5216,,,
FallTerm2023-5217,,,
FallTerm2023-5218,,,
FallTerm2023-5219,,,
FallTerm2024-6055,20,20,5
FallTerm2024-5941,12,12,0
FallTerm2024-5209,,,
FallTerm2024-5954,25,3,0
FallTerm2024-5942,17,7,0
FallTerm2024-6056,24,20,0
FallTerm2024-5943,15,15,7
FallTerm2024-5210,,,
FallTerm2024-5211,,,
FallTerm2024-5212,,,
FallTerm2024-5944,20,11,0
FallTerm2024-5946,18,8,0
FallTerm2024-5949,,9,
FallTerm2024-5947,18,18,2
FallTerm2024-5953,12,7,0
FallTerm2024-5213,,,
FallTerm2024-5214,,,
FallTerm2024-5215,,,
FallTerm2024-5216,,,
FallTerm2024-5217,,,
FallTerm2024-5218,,,
WinterTerm2024-1897,25,22,0
WinterTerm2024-1904,25,17,0
WinterTerm2024-1907,20,15,0
WinterTerm2024-1911,18,18,0
WinterTerm2024-1208,,,
WinterTerm2024-1655,,10,
WinterTerm2024-1899,25,10,0
WinterTerm2024-1909,18,12,0
WinterTerm2024-1209,,,
WinterTerm2024-1210,,,
WinterTerm2024-1211,,,
WinterTerm2024-1896,18,19,0
WinterTerm2024-1902,20,14,0
WinterTerm2024-1901,,14,
WinterTerm2024-1905,20,14,0
WinterTerm2024-1912,15,4,0
WinterTerm2024-1910,12,11,0
WinterTerm2024-1908,12,10,0
WinterTerm2024-1212,,,
WinterTerm2024-1213,,,
WinterTerm2024-1214,,,
WinterTerm2024-1898,12,13,0
WinterTerm2024-1215,,,
WinterTerm2024-1216,,,
WinterTerm2024-1217,,,
WinterTerm2025-2111,,13,
WinterTerm2025-2138,8,8,5
WinterTerm2025-2137,8,8,6
WinterTerm2025-1174,,,
WinterTerm2025-1654,,3,
WinterTerm2025-1931,15,9,0
WinterTerm2025-1874,,7,0
WinterTerm2025-2084,18,18,2
WinterTerm2025-1933,18,15,0
WinterTerm2025-1175,,,
WinterTerm2025-1176,,,
WinterTerm2025-1177,,,
WinterTerm2025-1934,18,14,0
WinterTerm2025-1935,,6,
WinterTerm2025-1936,20,6,0
WinterTerm2025-2075,15,15,1
WinterTerm2025-1938,15,5,0
WinterTerm2025-1940,12,11,0
WinterTerm2025-1178,,,
WinterTerm2025-1179,,,
WinterTerm2025-1180,,,
WinterTerm2025-1941,12,12,1
WinterTerm2025-1181,,,
WinterTerm2025-1182,,,
WinterTerm2025-1183,,,
SpringTerm2024-3899,20,20,0
SpringTerm2024-3667,,12,0
SpringTerm2024-3909,18,19,0
SpringTerm2024-3184,,,
SpringTerm2024-3669,,19,0
SpringTerm2024-3904,25,9,0
SpringTerm2024-3835,,9,0
SpringTerm2024-3910,24,23,0
SpringTerm2024-3185,,,
SpringTerm2024-4401,,,
SpringTerm2024-3186,,,
SpringTerm2024-3187,,,
SpringTerm2024-3900,,11,0
SpringTerm2024-3903,,7,
SpringTerm2024-3902,,21,
SpringTerm2024-3897,20,12,0
SpringTerm2024-3905,12,12,0
SpringTerm2024-3188,,,
SpringTerm2024-3189,,,
SpringTerm2024-3190,,,
SpringTerm2024-3908,18,13,0
SpringTerm2024-3191,,,
SpringTerm2024-3192,,,
SpringTerm2024-3193,,,
SpringTerm2025-3651,,,
SpringTerm2025-3652,,0,0
SpringTerm2025-3655,,1,0
SpringTerm2025-3928,12,11,0
SpringTerm2025-3176,,,
SpringTerm2025-4099,,14,
SpringTerm2025-3177,,,
SpringTerm2025-3178,,,
SpringTerm2025-3179,,,
SpringTerm2025-3932,18,18,2
SpringTerm2025-3933,,9,
SpringTerm2025-3934,,4,
SpringTerm2025-4065,,11,
