CRN,Term,Time,"Times 2nd (lab, etc)",Instructors,Course Link,meeting_details
5576,1 (Fall 2023),01:50 PM-03:00 PM MWF,01:00 PM-04:00 PM R,J. Clark,term_in=202350&crn_in=5576&subj_code_in=GEOS&crse_numb_in=125,"01:50 PM-03:00 PM MWF     YOUN 231
01:00 PM-04:00 PM R       YOUN 231"
5259,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5259&subj_code_in=GEOS&crse_numb_in=191,Arranged
5260,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5260&subj_code_in=GEOS&crse_numb_in=195,Arranged
5580,1 (Fall 2023),11:10 AM-12:20 PM MWF,01:00 PM-04:00 PM R,A. Knudsen,term_in=202350&crn_in=5580&subj_code_in=GEOS&crse_numb_in=240,"11:10 AM-12:20 PM MWF     YOUN 215
01:00 PM-04:00 PM R       YOUN 215"
5579,1 (Fall 2023),08:30 AM-10:15 AM TR,01:00 PM-04:00 PM T,R. Ribbons,term_in=202350&crn_in=5579&subj_code_in=GEOS&crse_numb_in=314,"08:30 AM-10:15 AM TR      YOUN 215
01:00 PM-04:00 PM T       YOUN 215"
5261,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5261&subj_code_in=GEOS&crse_numb_in=390,Arranged
5262,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5262&subj_code_in=GEOS&crse_numb_in=391,Arranged
5263,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5263&subj_code_in=GEOS&crse_numb_in=395,Arranged
5264,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5264&subj_code_in=GEOS&crse_numb_in=399,Arranged
5691,1 (Fall 2023),10:25 AM-12:10 PM R,,A. Knudsen,term_in=202350&crn_in=5691&subj_code_in=GEOS&crse_numb_in=520,10:25 AM-12:10 PM R       YOUN 218
5265,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5265&subj_code_in=GEOS&crse_numb_in=590,Arranged
5266,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5266&subj_code_in=GEOS&crse_numb_in=591,Arranged
5267,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5267&subj_code_in=GEOS&crse_numb_in=595,Arranged
5268,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5268&subj_code_in=GEOS&crse_numb_in=599,Arranged
5577,1 (Fall 2023),10:25 AM-12:10 PM T,,R. Ribbons,term_in=202350&crn_in=5577&subj_code_in=GEOS&crse_numb_in=620,10:25 AM-12:10 PM T       YOUN 218
5269,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5269&subj_code_in=GEOS&crse_numb_in=690,Arranged
5270,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5270&subj_code_in=GEOS&crse_numb_in=691,Arranged
5271,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5271&subj_code_in=GEOS&crse_numb_in=695,Arranged
5272,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5272&subj_code_in=GEOS&crse_numb_in=699,Arranged
5843,1 (Fall 2024),08:30 AM-09:40 AM MWF,01:00 PM-04:00 PM T,D. Donohoue,term_in=202450&crn_in=5843&subj_code_in=GEOS&crse_numb_in=150,"08:30 AM-09:40 AM MWF     YOUN 231
01:00 PM-04:00 PM T       YOUN 231"
5844,1 (Fall 2024),08:30 AM-09:40 AM MWF,01:00 PM-04:00 PM R,D. Donohoue,term_in=202450&crn_in=5844&subj_code_in=GEOS&crse_numb_in=150,"08:30 AM-09:40 AM MWF     YOUN 231
01:00 PM-04:00 PM R       YOUN 231"
5273,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5273&subj_code_in=GEOS&crse_numb_in=191,Arranged
5274,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5274&subj_code_in=GEOS&crse_numb_in=195,Arranged
5848,1 (Fall 2024),08:30 AM-10:15 AM TR,,Staff,term_in=202450&crn_in=5848&subj_code_in=GEOS&crse_numb_in=220,08:30 AM-10:15 AM TR       
5850,1 (Fall 2024),11:10 AM-12:20 PM MWF,01:00 PM-04:00 PM R,A. Knudsen,term_in=202450&crn_in=5850&subj_code_in=GEOS&crse_numb_in=240,"11:10 AM-12:20 PM MWF     YOUN 215
01:00 PM-04:00 PM R       YOUN 215"
5275,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5275&subj_code_in=GEOS&crse_numb_in=390,Arranged
5276,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5276&subj_code_in=GEOS&crse_numb_in=391,Arranged
5277,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5277&subj_code_in=GEOS&crse_numb_in=395,Arranged
5278,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5278&subj_code_in=GEOS&crse_numb_in=399,Arranged
6099,1 (Fall 2024),10:25 AM-12:10 PM TR,01:00 PM-04:00 PM T,R. Ribbons,term_in=202450&crn_in=6099&subj_code_in=GEOS&crse_numb_in=414,"10:25 AM-12:10 PM TR      YOUN 231
01:00 PM-04:00 PM T       YOUN 215"
5279,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5279&subj_code_in=GEOS&crse_numb_in=590,Arranged
5280,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5280&subj_code_in=GEOS&crse_numb_in=591,Arranged
5281,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5281&subj_code_in=GEOS&crse_numb_in=595,Arranged
5282,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5282&subj_code_in=GEOS&crse_numb_in=599,Arranged
5283,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5283&subj_code_in=GEOS&crse_numb_in=690,Arranged
5284,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5284&subj_code_in=GEOS&crse_numb_in=691,Arranged
5285,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5285&subj_code_in=GEOS&crse_numb_in=695,Arranged
5286,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5286&subj_code_in=GEOS&crse_numb_in=699,Arranged
1257,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1257&subj_code_in=GEOS&crse_numb_in=191,Arranged
1258,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1258&subj_code_in=GEOS&crse_numb_in=195,Arranged
1576,2 (Winter 2024),08:30 AM-09:40 AM MWF,,M. Bjornerud,term_in=202420&crn_in=1576&subj_code_in=GEOS&crse_numb_in=210,08:30 AM-09:40 AM MWF     YOUN 231
1578,2 (Winter 2024),08:30 AM-10:15 AM TR,,R. Ribbons,term_in=202420&crn_in=1578&subj_code_in=GEOS&crse_numb_in=214,08:30 AM-10:15 AM TR      YOUN 215
1574,2 (Winter 2024),10:25 AM-12:10 PM TR,01:00 PM-04:00 PM R,J. Clark,term_in=202420&crn_in=1574&subj_code_in=GEOS&crse_numb_in=220,"10:25 AM-12:10 PM TR      BRIG 421
01:00 PM-04:00 PM R       YOUN 213"
1259,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1259&subj_code_in=GEOS&crse_numb_in=390,Arranged
1260,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1260&subj_code_in=GEOS&crse_numb_in=391,Arranged
1261,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1261&subj_code_in=GEOS&crse_numb_in=395,Arranged
1262,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1262&subj_code_in=GEOS&crse_numb_in=399,Arranged
1263,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1263&subj_code_in=GEOS&crse_numb_in=590,Arranged
1264,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1264&subj_code_in=GEOS&crse_numb_in=591,Arranged
1265,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1265&subj_code_in=GEOS&crse_numb_in=595,Arranged
1266,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1266&subj_code_in=GEOS&crse_numb_in=599,Arranged
1267,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1267&subj_code_in=GEOS&crse_numb_in=690,Arranged
1268,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1268&subj_code_in=GEOS&crse_numb_in=691,Arranged
1269,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1269&subj_code_in=GEOS&crse_numb_in=695,Arranged
1270,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1270&subj_code_in=GEOS&crse_numb_in=699,Arranged
1812,2 (Winter 2025),09:50 AM-11:00 AM MWF,01:00 PM-04:00 PM W,A. Knudsen,term_in=202520&crn_in=1812&subj_code_in=GEOS&crse_numb_in=110,"09:50 AM-11:00 AM MWF     YOUN 231
01:00 PM-04:00 PM W       YOUN 231"
1813,2 (Winter 2025),09:50 AM-11:00 AM MWF,01:00 PM-04:00 PM R,A. Knudsen,term_in=202520&crn_in=1813&subj_code_in=GEOS&crse_numb_in=110,"09:50 AM-11:00 AM MWF     YOUN 231
01:00 PM-04:00 PM R       YOUN 231"
1238,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1238&subj_code_in=GEOS&crse_numb_in=191,Arranged
1239,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1239&subj_code_in=GEOS&crse_numb_in=195,Arranged
1820,2 (Winter 2025),08:30 AM-09:40 AM MWF,,M. Bjornerud,term_in=202520&crn_in=1820&subj_code_in=GEOS&crse_numb_in=210,08:30 AM-09:40 AM MWF     YOUN 215
1817,2 (Winter 2025),10:25 AM-12:10 PM TR,,R. Ribbons,term_in=202520&crn_in=1817&subj_code_in=GEOS&crse_numb_in=214,10:25 AM-12:10 PM TR      YOUN 215
1814,2 (Winter 2025),08:30 AM-10:15 AM TR,,R. Ribbons,term_in=202520&crn_in=1814&subj_code_in=GEOS&crse_numb_in=265,08:30 AM-10:15 AM TR      YOUN 215
1240,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1240&subj_code_in=GEOS&crse_numb_in=390,Arranged
1241,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1241&subj_code_in=GEOS&crse_numb_in=391,Arranged
1242,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1242&subj_code_in=GEOS&crse_numb_in=395,Arranged
1243,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1243&subj_code_in=GEOS&crse_numb_in=399,Arranged
1819,2 (Winter 2025),12:40 PM-02:25 PM T,,M. Bjornerud,term_in=202520&crn_in=1819&subj_code_in=GEOS&crse_numb_in=520,12:40 PM-02:25 PM T       YOUN 218
1244,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1244&subj_code_in=GEOS&crse_numb_in=590,Arranged
1245,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1245&subj_code_in=GEOS&crse_numb_in=591,Arranged
1246,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1246&subj_code_in=GEOS&crse_numb_in=595,Arranged
1247,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1247&subj_code_in=GEOS&crse_numb_in=599,Arranged
1809,2 (Winter 2025),12:40 PM-02:25 PM R,,J. Clark,term_in=202520&crn_in=1809&subj_code_in=GEOS&crse_numb_in=620,12:40 PM-02:25 PM R       YOUN 218
1852,2 (Winter 2025),12:40 PM-02:25 PM TR,,J. Clark,term_in=202520&crn_in=1852&subj_code_in=GEOS&crse_numb_in=620,12:40 PM-02:25 PM TR       
1248,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1248&subj_code_in=GEOS&crse_numb_in=690,Arranged
1249,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1249&subj_code_in=GEOS&crse_numb_in=691,Arranged
1250,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1250&subj_code_in=GEOS&crse_numb_in=695,Arranged
1251,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1251&subj_code_in=GEOS&crse_numb_in=699,Arranged
3551,3 (Spring 2024),11:10 AM-12:20 PM MWF,01:00 PM-04:00 PM R,A. Knudsen,term_in=202430&crn_in=3551&subj_code_in=GEOS&crse_numb_in=110,"11:10 AM-12:20 PM MWF     YOUN 231
01:00 PM-04:00 PM R       YOUN 231"
3552,3 (Spring 2024),11:10 AM-12:20 PM MWF,01:00 PM-04:00 PM W,A. Knudsen,term_in=202430&crn_in=3552&subj_code_in=GEOS&crse_numb_in=110,"11:10 AM-12:20 PM MWF     YOUN 231
01:00 PM-04:00 PM W       YOUN 231"
3555,3 (Spring 2024),08:30 AM-10:15 AM TR,01:00 PM-04:00 PM T,R. Ribbons,term_in=202430&crn_in=3555&subj_code_in=GEOS&crse_numb_in=150,"08:30 AM-10:15 AM TR      YOUN 121
01:00 PM-04:00 PM T       YOUN 231"
3556,3 (Spring 2024),08:30 AM-10:15 AM TR,01:00 PM-04:00 PM W,R. Ribbons,term_in=202430&crn_in=3556&subj_code_in=GEOS&crse_numb_in=150,"08:30 AM-10:15 AM TR      YOUN 121
01:00 PM-04:00 PM W        "
3233,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3233&subj_code_in=GEOS&crse_numb_in=191,Arranged
3234,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3234&subj_code_in=GEOS&crse_numb_in=195,Arranged
3553,3 (Spring 2024),08:30 AM-09:40 AM MWF,01:00 PM-04:00 PM W,M. Bjornerud,term_in=202430&crn_in=3553&subj_code_in=GEOS&crse_numb_in=370,"08:30 AM-09:40 AM MWF     YOUN 215
01:00 PM-04:00 PM W       YOUN 215"
3235,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3235&subj_code_in=GEOS&crse_numb_in=390,Arranged
3236,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3236&subj_code_in=GEOS&crse_numb_in=391,Arranged
3237,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3237&subj_code_in=GEOS&crse_numb_in=395,Arranged
3238,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3238&subj_code_in=GEOS&crse_numb_in=399,Arranged
3650,3 (Spring 2024),02:35 PM-04:20 PM T,,M. Bjornerud,term_in=202430&crn_in=3650&subj_code_in=GEOS&crse_numb_in=580,02:35 PM-04:20 PM T       YOUN 218
3239,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3239&subj_code_in=GEOS&crse_numb_in=590,Arranged
3240,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3240&subj_code_in=GEOS&crse_numb_in=591,Arranged
3241,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3241&subj_code_in=GEOS&crse_numb_in=595,Arranged
3242,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3242&subj_code_in=GEOS&crse_numb_in=599,Arranged
3243,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3243&subj_code_in=GEOS&crse_numb_in=690,Arranged
3244,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3244&subj_code_in=GEOS&crse_numb_in=691,Arranged
3245,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3245&subj_code_in=GEOS&crse_numb_in=695,Arranged
3246,3 (Spring 2024),,,Staff,term_in=202430&crn_in=3246&subj_code_in=GEOS&crse_numb_in=699,Arranged
3847,3 (Spring 2025),08:30 AM-09:40 AM MWF,01:00 PM-04:00 PM T,"R. Ribbons
M. Bjornerud",term_in=202530&crn_in=3847&subj_code_in=GEOS&crse_numb_in=110,"08:30 AM-09:40 AM MWF     YOUN 231
01:00 PM-04:00 PM T       YOUN 231"
3848,3 (Spring 2025),08:30 AM-09:40 AM MWF,01:00 PM-04:00 PM W,"R. Ribbons
M. Bjornerud",term_in=202530&crn_in=3848&subj_code_in=GEOS&crse_numb_in=110,"08:30 AM-09:40 AM MWF     YOUN 231
01:00 PM-04:00 PM W       YOUN 231"
3240,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3240&subj_code_in=GEOS&crse_numb_in=191,Arranged
3241,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3241&subj_code_in=GEOS&crse_numb_in=195,Arranged
3843,3 (Spring 2025),08:30 AM-09:40 AM MWF,01:00 PM-04:00 PM R,M. Bjornerud,term_in=202530&crn_in=3843&subj_code_in=GEOS&crse_numb_in=250,"08:30 AM-09:40 AM MWF     YOUN 215
01:00 PM-04:00 PM R       YOUN 215"
3844,3 (Spring 2025),10:25 AM-12:10 PM TR,12:30 PM-04:30 PM T,J. Clark,term_in=202530&crn_in=3844&subj_code_in=GEOS&crse_numb_in=360,"10:25 AM-12:10 PM TR      YOUN 215
12:30 PM-04:30 PM T       YOUN 215"
3242,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3242&subj_code_in=GEOS&crse_numb_in=390,Arranged
3243,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3243&subj_code_in=GEOS&crse_numb_in=391,Arranged
3244,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3244&subj_code_in=GEOS&crse_numb_in=395,Arranged
3245,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3245&subj_code_in=GEOS&crse_numb_in=399,Arranged
3849,3 (Spring 2025),08:30 AM-10:15 AM R,,A. Knudsen,term_in=202530&crn_in=3849&subj_code_in=GEOS&crse_numb_in=580,08:30 AM-10:15 AM R       YOUN 218
3867,3 (Spring 2025),08:30 AM-10:15 AM R,,A. Knudsen,term_in=202530&crn_in=3867&subj_code_in=GEOS&crse_numb_in=580,08:30 AM-10:15 AM R        
3246,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3246&subj_code_in=GEOS&crse_numb_in=590,Arranged
3247,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3247&subj_code_in=GEOS&crse_numb_in=591,Arranged
3248,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3248&subj_code_in=GEOS&crse_numb_in=595,Arranged
3249,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3249&subj_code_in=GEOS&crse_numb_in=599,Arranged
3250,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3250&subj_code_in=GEOS&crse_numb_in=690,Arranged
3251,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3251&subj_code_in=GEOS&crse_numb_in=691,Arranged
3252,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3252&subj_code_in=GEOS&crse_numb_in=695,Arranged
3253,3 (Spring 2025),,,Staff,term_in=202530&crn_in=3253&subj_code_in=GEOS&crse_numb_in=699,Arranged
5038,1 (Fall 2023),09:50 AM-11:00 AM MWF,09:05 AM-10:15 AM TR,M. Carone,term_in=202350&crn_in=5038&subj_code_in=GER&crse_numb_in=101,"09:50 AM-11:00 AM MWF     MAIN 211
09:05 AM-10:15 AM TR      MAIN 211"
5039,1 (Fall 2023),01:50 PM-03:00 PM MWF,01:15 PM-02:25 PM TR,P. Watzke,term_in=202350&crn_in=5039&subj_code_in=GER&crse_numb_in=101,"01:50 PM-03:00 PM MWF     MAIN 216
01:15 PM-02:25 PM TR      MAIN 216"
5273,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5273&subj_code_in=GER&crse_numb_in=191,Arranged
5274,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5274&subj_code_in=GER&crse_numb_in=195,Arranged
5041,1 (Fall 2023),01:50 PM-03:00 PM MWF,,M. Carone,term_in=202350&crn_in=5041&subj_code_in=GER&crse_numb_in=202,01:50 PM-03:00 PM MWF     MAIN 005
5799,1 (Fall 2023),09:50 AM-11:00 AM MWF,,P. Watzke,term_in=202350&crn_in=5799&subj_code_in=GER&crse_numb_in=355,09:50 AM-11:00 AM MWF     MAIN 402
5275,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5275&subj_code_in=GER&crse_numb_in=390,Arranged
5276,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5276&subj_code_in=GER&crse_numb_in=391,Arranged
5277,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5277&subj_code_in=GER&crse_numb_in=395,Arranged
5278,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5278&subj_code_in=GER&crse_numb_in=399,Arranged
5279,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5279&subj_code_in=GER&crse_numb_in=590,Arranged
5280,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5280&subj_code_in=GER&crse_numb_in=591,Arranged
5281,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5281&subj_code_in=GER&crse_numb_in=595,Arranged
5282,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5282&subj_code_in=GER&crse_numb_in=599,Arranged
5042,1 (Fall 2023),,,A. Guenther-Pal,term_in=202350&crn_in=5042&subj_code_in=GER&crse_numb_in=600,Arranged
5283,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5283&subj_code_in=GER&crse_numb_in=690,Arranged
5969,1 (Fall 2023),,,A. Guenther-Pal,term_in=202350&crn_in=5969&subj_code_in=GER&crse_numb_in=691,Arranged
5970,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5970&subj_code_in=GER&crse_numb_in=691,Arranged
5284,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5284&subj_code_in=GER&crse_numb_in=695,Arranged
5285,1 (Fall 2023),,,Staff,term_in=202350&crn_in=5285&subj_code_in=GER&crse_numb_in=699,Arranged
5788,1 (Fall 2024),09:50 AM-11:00 AM MWF,09:05 AM-10:15 AM TR,M. Carone,term_in=202450&crn_in=5788&subj_code_in=GER&crse_numb_in=101,"09:50 AM-11:00 AM MWF     MAIN 401
09:05 AM-10:15 AM TR      MAIN 401"
5789,1 (Fall 2024),01:50 PM-03:00 PM MWF,01:15 PM-02:25 PM TR,P. Watzke,term_in=202450&crn_in=5789&subj_code_in=GER&crse_numb_in=101,"01:50 PM-03:00 PM MWF      
01:15 PM-02:25 PM TR      MAIN 216"
5287,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5287&subj_code_in=GER&crse_numb_in=191,Arranged
5288,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5288&subj_code_in=GER&crse_numb_in=195,Arranged
5790,1 (Fall 2024),01:50 PM-03:00 PM MWF,,A. Guenther-Pal,term_in=202450&crn_in=5790&subj_code_in=GER&crse_numb_in=202,01:50 PM-03:00 PM MWF     MAIN 211
5289,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5289&subj_code_in=GER&crse_numb_in=390,Arranged
5290,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5290&subj_code_in=GER&crse_numb_in=391,Arranged
5291,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5291&subj_code_in=GER&crse_numb_in=395,Arranged
5292,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5292&subj_code_in=GER&crse_numb_in=399,Arranged
5791,1 (Fall 2024),11:10 AM-12:20 PM MWF,,P. Watzke,term_in=202450&crn_in=5791&subj_code_in=GER&crse_numb_in=418,11:10 AM-12:20 PM MWF     MAIN 306
5293,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5293&subj_code_in=GER&crse_numb_in=590,Arranged
5294,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5294&subj_code_in=GER&crse_numb_in=591,Arranged
5295,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5295&subj_code_in=GER&crse_numb_in=595,Arranged
5296,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5296&subj_code_in=GER&crse_numb_in=599,Arranged
5297,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5297&subj_code_in=GER&crse_numb_in=690,Arranged
5298,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5298&subj_code_in=GER&crse_numb_in=691,Arranged
5299,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5299&subj_code_in=GER&crse_numb_in=695,Arranged
5300,1 (Fall 2024),,,Staff,term_in=202450&crn_in=5300&subj_code_in=GER&crse_numb_in=699,Arranged
1028,2 (Winter 2024),09:50 AM-11:00 AM MWF,09:05 AM-10:15 AM TR,M. Carone,term_in=202420&crn_in=1028&subj_code_in=GER&crse_numb_in=102,"09:50 AM-11:00 AM MWF     MAIN 211
09:05 AM-10:15 AM TR      MAIN 211"
1029,2 (Winter 2024),01:50 PM-03:00 PM MWF,01:15 PM-02:25 PM TR,M. Carone,term_in=202420&crn_in=1029&subj_code_in=GER&crse_numb_in=102,"01:50 PM-03:00 PM MWF     MAIN 211
01:15 PM-02:25 PM TR      MAIN 211"
1271,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1271&subj_code_in=GER&crse_numb_in=191,Arranged
1272,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1272&subj_code_in=GER&crse_numb_in=195,Arranged
1033,2 (Winter 2024),03:10 PM-04:20 PM MWF,,A. Guenther-Pal,term_in=202420&crn_in=1033&subj_code_in=GER&crse_numb_in=285,03:10 PM-04:20 PM MWF     MAIN 203
1273,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1273&subj_code_in=GER&crse_numb_in=390,Arranged
1274,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1274&subj_code_in=GER&crse_numb_in=391,Arranged
1275,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1275&subj_code_in=GER&crse_numb_in=395,Arranged
1276,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1276&subj_code_in=GER&crse_numb_in=399,Arranged
1814,2 (Winter 2024),01:50 PM-03:00 PM MWF,,P. Watzke,term_in=202420&crn_in=1814&subj_code_in=GER&crse_numb_in=418,01:50 PM-03:00 PM MWF     MAIN 306
1277,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1277&subj_code_in=GER&crse_numb_in=590,Arranged
1278,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1278&subj_code_in=GER&crse_numb_in=591,Arranged
1279,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1279&subj_code_in=GER&crse_numb_in=595,Arranged
1280,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1280&subj_code_in=GER&crse_numb_in=599,Arranged
1040,2 (Winter 2024),09:50 AM-11:00 AM MWF,,A. Guenther-Pal,term_in=202420&crn_in=1040&subj_code_in=GER&crse_numb_in=600,09:50 AM-11:00 AM MWF     LIBR 401
1281,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1281&subj_code_in=GER&crse_numb_in=690,Arranged
1981,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1981&subj_code_in=GER&crse_numb_in=691,Arranged
1282,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1282&subj_code_in=GER&crse_numb_in=695,Arranged
1283,2 (Winter 2024),,,Staff,term_in=202420&crn_in=1283&subj_code_in=GER&crse_numb_in=699,Arranged
1755,2 (Winter 2025),01:50 PM-03:00 PM MWF,01:15 PM-02:25 PM TR,M. Carone,term_in=202520&crn_in=1755&subj_code_in=GER&crse_numb_in=102,"01:50 PM-03:00 PM MWF      
01:15 PM-02:25 PM TR      MAIN 401"
1756,2 (Winter 2025),09:50 AM-11:00 AM MWF,09:05 AM-10:15 AM TR,M. Carone,term_in=202520&crn_in=1756&subj_code_in=GER&crse_numb_in=102,"09:50 AM-11:00 AM MWF      
09:05 AM-10:15 AM TR      MAIN 211"
1252,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1252&subj_code_in=GER&crse_numb_in=191,Arranged
1253,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1253&subj_code_in=GER&crse_numb_in=195,Arranged
1757,2 (Winter 2025),03:10 PM-04:20 PM MWF,,P. Watzke,term_in=202520&crn_in=1757&subj_code_in=GER&crse_numb_in=285,03:10 PM-04:20 PM MWF     MAIN 306
1254,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1254&subj_code_in=GER&crse_numb_in=390,Arranged
1255,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1255&subj_code_in=GER&crse_numb_in=391,Arranged
1256,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1256&subj_code_in=GER&crse_numb_in=395,Arranged
1257,2 (Winter 2025),,,Staff,term_in=202520&crn_in=1257&subj_code_in=GER&crse_numb_in=399,Arranged
