CRN,Term,Dept,Num,Name,APR,Units,PreReqs,Description,IS_DS_TU_IN
5193,1 (Fall 2023),EDST,595,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5194,1 (Fall 2023),EDST,599,INDEPENDENT STUDY IN EDST,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,,Y
5195,1 (Fall 2023),EDST,690,TUTORIAL IN EDUCATION STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,"Tutorial studies in the fields of educational policy, environmental education, history of education, comparative education and on various topics related to the social foundations of education. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor",Y
5196,1 (Fall 2023),EDST,691,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5197,1 (Fall 2023),EDST,695,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5198,1 (Fall 2023),EDST,699,INDEPENDENT STUDY IN EDST,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,,Y
5759,1 (Fall 2024),EDST,180,PSYCHOLOGY OF LEARNING,,6,,"An introduction to the science of learning and how it applies to educational contexts. Topics include brain structure and development; types of memory and learning processes; approaches to building knowledge, skills, and understanding; and factors that drive more powerful and successful learning. Each student will arrange their own practicum of three hours per week in a school class or similar learning environment.   ",N
5184,1 (Fall 2024),EDST,191,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5185,1 (Fall 2024),EDST,195,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5761,1 (Fall 2024),EDST,350,"ETHNICITY, CULT DIVERS, & EDUC",,6,Sophomore standing,"A study of the experience of children and adolescents from different ethnic, cultural, and economic groups. Emphasis on understanding the social consequences of these differences and how such differences affect educational achievement and attainment. The sources and educational effects of individual, institutional, and systemic racism, sexism, and other forms of prejudice and discrimination will also be examined. A 20-hour practicum in a K-12 English Learners classroom or similar setting is required.  PREREQUISITES: Sophomore standing",N
5186,1 (Fall 2024),EDST,390,TUTORIAL IN EDUCATION STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,"Tutorial studies in the fields of educational policy, environmental education, history of education, comparative education and on various topics related to the social foundations of education. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor",Y
5187,1 (Fall 2024),EDST,391,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5188,1 (Fall 2024),EDST,395,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5189,1 (Fall 2024),EDST,399,INDEPENDENT STUDY IN EDST,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,,Y
5190,1 (Fall 2024),EDST,590,TUTORIAL IN EDUCATION STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,"Tutorial studies in the fields of educational policy, environmental education, history of education, comparative education and on various topics related to the social foundations of education. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor",Y
5191,1 (Fall 2024),EDST,591,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5192,1 (Fall 2024),EDST,595,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5193,1 (Fall 2024),EDST,599,INDEPENDENT STUDY IN EDST,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,,Y
5194,1 (Fall 2024),EDST,690,TUTORIAL IN EDUCATION STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,"Tutorial studies in the fields of educational policy, environmental education, history of education, comparative education and on various topics related to the social foundations of education. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor",Y
5195,1 (Fall 2024),EDST,691,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5196,1 (Fall 2024),EDST,695,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5197,1 (Fall 2024),EDST,699,INDEPENDENT STUDY IN EDST,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,,Y
1605,2 (Winter 2024),EDST,180,PSYCHOLOGY OF LEARNING,,6,,"An introduction to the science of learning and how it applies to educational contexts. Topics include brain structure and development; types of memory and learning processes; approaches to building knowledge, skills, and understanding; and factors that drive more powerful and successful learning. Each student will arrange their own practicum of three hours per week in a school class or similar learning environment.   ",N
1183,2 (Winter 2024),EDST,191,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1184,2 (Winter 2024),EDST,195,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1607,2 (Winter 2024),EDST,315,PHILOSOPHY OF CHILDREN,,6,Sophomore standing,"Students will consider childhood and children through a philosophical lens.  The first half of the course will focus on the philosophy of childhood; the second half will focus on how children philosophize the world, children's rights, and adult responsibilities.  Readings will derive from philosophical texts, fiction and children's literature, and social media.  Students may elect to also enroll in EDST 316 for a field experience practicum in elementary classrooms.  PREREQUISITES: Sophomore standing",N
1608,2 (Winter 2024),EDST,350,"ETHNICITY, CULT DIVERS, & EDUC",,6,Sophomore standing,"A study of the experience of children and adolescents from different ethnic, cultural, and economic groups. Emphasis on understanding the social consequences of these differences and how such differences affect educational achievement and attainment. The sources and educational effects of individual, institutional, and systemic racism, sexism, and other forms of prejudice and discrimination will also be examined. A 20-hour practicum in a K-12 English Learners classroom or similar setting is required.  PREREQUISITES: Sophomore standing",N
1185,2 (Winter 2024),EDST,390,TUTORIAL IN EDUCATION STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,"Tutorial studies in the fields of educational policy, environmental education, history of education, comparative education and on various topics related to the social foundations of education. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor",Y
1186,2 (Winter 2024),EDST,391,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1187,2 (Winter 2024),EDST,395,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1188,2 (Winter 2024),EDST,399,INDEPENDENT STUDY IN EDST,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,,Y
1189,2 (Winter 2024),EDST,590,TUTORIAL IN EDUCATION STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,"Tutorial studies in the fields of educational policy, environmental education, history of education, comparative education and on various topics related to the social foundations of education. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor",Y
1190,2 (Winter 2024),EDST,591,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1191,2 (Winter 2024),EDST,595,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1192,2 (Winter 2024),EDST,599,INDEPENDENT STUDY IN EDST,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,,Y
1193,2 (Winter 2024),EDST,690,TUTORIAL IN EDUCATION STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,"Tutorial studies in the fields of educational policy, environmental education, history of education, comparative education and on various topics related to the social foundations of education. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor",Y
1194,2 (Winter 2024),EDST,691,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1195,2 (Winter 2024),EDST,695,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1196,2 (Winter 2024),EDST,699,INDEPENDENT STUDY IN EDST,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,,Y
1149,2 (Winter 2025),EDST,191,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1150,2 (Winter 2025),EDST,195,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1772,2 (Winter 2025),EDST,209,HOLLYWOOD GOES TO HIGH SCHOOL,,6,,"Year after year, Hollywood turns out movies that are set in schools and present images of teachers and teens.  Many of these films address typical coming-of-age issues, societal fear of teen crime and delinquency and, of course, the search for romance.  A subset of these films provide powerful and culturally enduring images of teachers and teaching.  High school movies also provide insight into the fantasies, anxieties, dreams, and assumptions prevalent in American culture.  This course will examine the world and worldview found in Hollywood high school movies and the extent to which the stories they tell make us who we are.",N
1716,2 (Winter 2025),EDST,270,WHY READ CHILDREN'S BOOKS?,,6,,"This seminar explores the complex ways children's literature affect readers of all ages.  We will immerse ourselves in reading works from Where the Wild Things Are to Charlotte's Web as we examine what it means to be a reader of children's literature by looking at our own and children's responses to the experience and joy of reading.  Discussion, reflective writing and collaborative community projects.",N
1151,2 (Winter 2025),EDST,390,TUTORIAL IN EDUCATION STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,"Tutorial studies in the fields of educational policy, environmental education, history of education, comparative education and on various topics related to the social foundations of education. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor",Y
1152,2 (Winter 2025),EDST,391,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1153,2 (Winter 2025),EDST,395,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1154,2 (Winter 2025),EDST,399,INDEPENDENT STUDY IN EDST,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,,Y
1155,2 (Winter 2025),EDST,590,TUTORIAL IN EDUCATION STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,"Tutorial studies in the fields of educational policy, environmental education, history of education, comparative education and on various topics related to the social foundations of education. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor",Y
1156,2 (Winter 2025),EDST,591,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1157,2 (Winter 2025),EDST,595,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1158,2 (Winter 2025),EDST,599,INDEPENDENT STUDY IN EDST,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,,Y
1159,2 (Winter 2025),EDST,690,TUTORIAL IN EDUCATION STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,"Tutorial studies in the fields of educational policy, environmental education, history of education, comparative education and on various topics related to the social foundations of education. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor",Y
1160,2 (Winter 2025),EDST,691,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1161,2 (Winter 2025),EDST,695,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1162,2 (Winter 2025),EDST,699,INDEPENDENT STUDY IN EDST,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,,Y
3587,3 (Spring 2024),EDST,180,PSYCHOLOGY OF LEARNING,,6,,"An introduction to the science of learning and how it applies to educational contexts. Topics include brain structure and development; types of memory and learning processes; approaches to building knowledge, skills, and understanding; and factors that drive more powerful and successful learning. Each student will arrange their own practicum of three hours per week in a school class or similar learning environment.   ",N
3159,3 (Spring 2024),EDST,191,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3160,3 (Spring 2024),EDST,195,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3589,3 (Spring 2024),EDST,270,WHY READ CHILDREN'S BOOKS?,,6,,"This seminar explores the complex ways children's literature affect readers of all ages.  We will immerse ourselves in reading works from Where the Wild Things Are to Charlotte's Web as we examine what it means to be a reader of children's literature by looking at our own and children's responses to the experience and joy of reading.  Discussion, reflective writing and collaborative community projects.",N
3161,3 (Spring 2024),EDST,390,TUTORIAL IN EDUCATION STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,"Tutorial studies in the fields of educational policy, environmental education, history of education, comparative education and on various topics related to the social foundations of education. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor",Y
3162,3 (Spring 2024),EDST,391,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3163,3 (Spring 2024),EDST,395,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3164,3 (Spring 2024),EDST,399,INDEPENDENT STUDY IN EDST,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,,Y
3590,3 (Spring 2024),EDST,440,SOCIOLOGY OF EDUCATION,,6,Sophomore standing,"An examination of the social foundations of education in the United States with particular attention paid to the cultural, political, and economic functions of education in modern society. Other topics include the reproductive function of schooling in a society divided along lines of race/ethnicity and class, schools as sites of cultural production, and the historical tension in the U.S. between equity and excellence in education. Practicum of 20 hours required. PREREQUISITES: Sophomore standing",N
3592,3 (Spring 2024),EDST,440,SOCIOLOGY OF EDUCATION,,6,Sophomore standing,"An examination of the social foundations of education in the United States with particular attention paid to the cultural, political, and economic functions of education in modern society. Other topics include the reproductive function of schooling in a society divided along lines of race/ethnicity and class, schools as sites of cultural production, and the historical tension in the U.S. between equity and excellence in education. Practicum of 20 hours required. PREREQUISITES: Sophomore standing",N
3165,3 (Spring 2024),EDST,590,TUTORIAL IN EDUCATION STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,"Tutorial studies in the fields of educational policy, environmental education, history of education, comparative education and on various topics related to the social foundations of education. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor",Y
3166,3 (Spring 2024),EDST,591,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3167,3 (Spring 2024),EDST,595,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3168,3 (Spring 2024),EDST,599,INDEPENDENT STUDY IN EDST,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,,Y
3169,3 (Spring 2024),EDST,690,TUTORIAL IN EDUCATION STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,"Tutorial studies in the fields of educational policy, environmental education, history of education, comparative education and on various topics related to the social foundations of education. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor",Y
3170,3 (Spring 2024),EDST,691,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3171,3 (Spring 2024),EDST,695,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3172,3 (Spring 2024),EDST,699,INDEPENDENT STUDY IN EDST,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,,Y
3741,3 (Spring 2025),EDST,180,PSYCHOLOGY OF LEARNING,,6,,"An introduction to the science of learning and how it applies to educational contexts. Topics include brain structure and development; types of memory and learning processes; approaches to building knowledge, skills, and understanding; and factors that drive more powerful and successful learning. Each student will arrange their own practicum of three hours per week in a school class or similar learning environment.   ",N
3151,3 (Spring 2025),EDST,191,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3152,3 (Spring 2025),EDST,195,INTERNSHIP IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Internship in a school or district office, museum or arts organization, other non-profit or community organization, social services agency, governmental body, policy or advocacy group, or other education-related setting with prior approval.  (Does not count toward teacher certification.)  The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3153,3 (Spring 2025),EDST,390,TUTORIAL IN EDUCATION STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor,"Tutorial studies in the fields of educational policy, environmental education, history of education, comparative education and on various topics related to the social foundations of education. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor",Y
3154,3 (Spring 2025),EDST,391,DIRECTED STUDY IN EDUC STUDIES,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
